Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Gangaur Pizza Point,600,"Fast Food,Pizza",Ajmer,Ana Sagar Lake,Quick Bites,9am to 11pm(Mon-Sun),Good,3.9,373
Mango Masala Restaurant,600,"Continental,Beverages,South Indian,Fast Food,Italian,North Indian,Chinese",Ajmer,Ana Sagar Lake,Casual Dining,9am to 11pm(Mon-Sun),Very Good,4.1,593
Rasoi,800,"North Indian,South Indian,Continental,Italian,Chinese,Beverages",Ajmer,Ana Sagar Lake,Casual Dining,9am to 11pm(Mon-Sun),Very Good,4,468
Bansi Wala,150,"Beverages,Fast Food,North Indian,Chinese,Rajasthani",Ajmer,Railway Quarters,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,165
The Burger Street,650,Fast Food,Ajmer,Ana Sagar Lake,Quick Bites,10am to 1130pm(Mon-Sun),Good,3.7,216
Domino's Pizza,400,"Fast Food,Pizza",Ajmer,Ana Sagar Lake,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,258
7 Spices,500,"North Indian,Roast Chicken,BBQ,Mughlai,Charcoal Chicken,Kebab",Ajmer,Dhola Bhata Colony,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,115
Mahadev Ka Dhaba,250,"North Indian,Rajasthani",Ajmer,Panchsheel Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,175
WTF What's The Food,100,"Fast Food,North Indian",Ajmer,Ana Sagar Lake,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.5,103
Foodies,150,Chinese,Ajmer,Adarsh Nagar,Quick Bites,10am to 11pm(Mon-Sun),Average,3.4,81
Roll Street,200,Rolls,Ajmer,Ana Sagar Lake,Quick Bites,9am to 1130pm(Mon-Sun),Good,3.8,115
Guddan Ka Dhaba,300,North Indian,Ajmer,Ana Sagar Lake,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,119
Mango Curry,1000,"South Indian,Fast Food,Italian,North Indian,Chinese,BBQ,Kebab",Ajmer,Ana Sagar Lake,Quick Bites,11am to 11pm(Mon-Sun),Good,3.9,263
Inbox,250,"Thai,Mexican,Italian",Ajmer,Pal Bhichala,Café,11am to 11pm(Mon-Sun),Average,3.4,57
Burger King,500,"Burger,Fast Food",Ajmer,City Square Mall-- Panchsheel Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,73
Royal Bakers,200,Bakery,Ajmer,Ana Sagar Lake,Bakery,1030am to 1030pm(Mon-Sun),Good,3.7,27
Masala Basket,250,"Beverages,Desserts,North Indian,Chinese,Rajasthani",Ajmer,Railway Quarters,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,29
Daurani Jethani Ki Rasoi,250,"Fast Food,Sandwich,Pizza,North Indian,Chinese",Ajmer,Ana Sagar Lake,Quick Bites,530pm to 11pm(Mon-Sun),Average,3.4,38
Simple Lounge & Family Restaurant,300,"Fast Food,North Indian",Ajmer,Adarsh Nagar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,38
Thakurani Da Dhaba,350,North Indian,Ajmer,Ana Sagar Lake,Quick Bites,9am to 11pm(Mon-Sun),Good,3.5,23
Meet Heights,500,Fast Food,Ajmer,Hathi Khera,Quick Bites,930am to 1130pm(Mon-Sun),Average,3.3,15
The Big Bunny,300,North Indian,Ajmer,Adarsh Nagar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,32
baawarchi brothers,350,"Rajasthani,Biryani,Sandwich,Fast Food,Beverages,Burger",Ajmer,Ana Sagar Lake,Casual Dining,10am to 11pm(Mon-Sun),Good,3.7,24
